Lot,Vitrox ID,Recipe,Start Time,End Time,Yield,Total Inspected,Total Reject
4958156.1D,,SKY55446+REV,10/20/2024 5:36,10/20/2024 6:16,,,
4958156.1D,6VTRX07,SKY55446+REV3,10/20/2024 5:36,10/20/2024 6:16,100.00%,640,0
4958156.2,,SKY55446+REV,10/19/2024 17:34,10/19/2024 18:50,,,
4958156.2,,SKY55446+REV,10/19/2024 17:34,10/19/2024 18:50,,,
6,6VTRX07,SKY55446+REV3,D                START TIME    END TIME       TOTAL,D                START TIME    END TIME       TOTAL,94.94%,1323,67
4958156.3,,SKY55446+REV,10/19/2024 19:24,10/20/2024 3:31,,,
4958156.3,,SKY55446+REV,10/19/2024 19:24,10/20/2024 3:31,,,
,6VTRX07,SKY55446+REV3,D                START TIME    END TIME       TOTAL,D                START TIME    END TIME       TOTAL,94.82%,7638,396
4958960.1,,SKY55446+REV,10/13/2024 3:49,10/17/2024 8:55,,,
,6VTRX07,SKY55446+REV3,D                START TIME    END TIME       TOTAL,D                START TIME    END TIME       TOTAL,0.00%,0,0
4958960.1-DETAPE,,SKY55446+REV,10/17/2024 10:26,10/17/2024 14:21,,,
4958960.1-DETAPE,,SKY55446+REV,10/17/2024 10:26,10/17/2024 14:21,,,
4958960.1-DETAPE,6VTRX07,SKY55446+REV3,10/17/2024 10:26,10/17/2024 14:21,0.00%,0,0
4958960.1-DETAPE,,SKY55446+REV,10/17/2024 10:26,10/17/2024 13:00,,,
4958960.1-DETAPE,,SKY55446+REV,10/17/2024 10:26,10/17/2024 13:00,,,
4958960.1-DETAPE,6VTRX07,SKY55446+REV3,10/17/2024 10:26,10/17/2024 13:00,100.00%,7473,0
4958960.2,,SKY55446+REV,10/13/2024 5:23,10/13/2024 12:21,,,
4958960.2,,SKY55446+REV,10/13/2024 5:23,10/13/2024 12:21,,,
,6VTRX07,SKY55446+REV3,D                START TIME    END TIME       TOTAL      REMARK,D                START TIME    END TIME       TOTAL      REMARK,100.00%,11524,0
4958960.2,,SKY55446+REV,10/13/2024 5:23,10/13/2024 14:01,,,
4958960.2,,SKY55446+REV,10/13/2024 5:23,10/13/2024 14:01,,,
3,6VTRX07,SKY55446+REV3,D                START TIME    END TIME       TOTAL      REMARK,D                START TIME    END TIME       TOTAL      REMARK,99.84%,12379,20
4958960.2,,SKY55446+REV,10/13/2024 5:23,10/13/2024 9:38,,,
4958960.2,,SKY55446+REV,10/13/2024 5:23,10/13/2024 9:38,,,
195,6VTRX07,SKY55446+REV3,D                START TIME    END TIME       TOTAL      REMARK,D                START TIME    END TIME       TOTAL      REMARK,96.10%,14906,581
4958960.2DETAPE,,SKY55446+REV,10/13/2024 9:47,10/13/2024 11:48,,,
4958960.2DETAPE,6VTRX07,SKY55446+REV3,10/13/2024 9:47,10/13/2024 11:48,100.00%,186,0
4958960.2DETAPE,,SKY55446+REV,10/13/2024 9:47,10/13/2024 10:26,,,
4958960.2DETAPE,6VTRX07,SKY55446+REV3,10/13/2024 9:47,10/13/2024 10:26,100.00%,149,0
4958960.3,,SKY55446+REV,10/17/2024 20:30,10/18/2024 11:26,,,
4958960.3,,SKY55446+REV,10/17/2024 20:30,10/18/2024 11:26,,,
912,6VTRX07,SKY55446+REV3,D                START TIME    END TIME       TOTAL      REMARK,D                START TIME    END TIME       TOTAL      REMARK,96.98%,21266,643
4958960.3,,SKY55446+REV,10/17/2024 20:30,10/18/2024 12:59,,,
4958960.3,,SKY55446+REV,10/17/2024 20:30,10/18/2024 12:59,,,
,6VTRX07,SKY55446+REV3,D                START TIME    END TIME       TOTAL      REMARK,D                START TIME    END TIME       TOTAL      REMARK,99.20%,21265,171
4958960.3,,SKY55446+REV,10/17/2024 20:30,10/18/2024 8:59,,,
4958960.3,,SKY55446+REV,10/17/2024 20:30,10/18/2024 8:59,,,
692,6VTRX07,SKY55446+REV3,D                START TIME    END TIME       TOTAL      REMARK,D                START TIME    END TIME       TOTAL      REMARK,87.29%,21121,2684
4958962.1,,SKY55446+REV,10/11/2024 8:52,10/11/2024 14:56,,,
4958962.1,,SKY55446+REV,10/11/2024 8:52,10/11/2024 14:56,,,
,6VTRX07,SKY55446+REV3,D                START TIME    END TIME       TOTAL      REMARK,D                START TIME    END TIME       TOTAL      REMARK,99.05%,21519,205
4958962.1,,SKY55446+REV,10/11/2024 8:52,10/11/2024 14:18,,,
4958962.1,,SKY55446+REV,10/11/2024 8:52,10/11/2024 14:18,,,
896,6VTRX07,SKY55446+REV3,D                START TIME    END TIME       TOTAL      REMARK,D                START TIME    END TIME       TOTAL      REMARK,96.40%,21228,765
4958964.1,,SKY55446+REV,10/12/2024 6:15,10/12/2024 15:18,,,
4958964.1,,SKY55446+REV,10/12/2024 6:15,10/12/2024 15:18,,,
,6VTRX07,SKY55446+REV3,D                START TIME    END TIME       TOTAL      REMARK,D                START TIME    END TIME       TOTAL      REMARK,99.49%,21768,111
4958964.1,,SKY55446+REV,10/12/2024 6:15,10/12/2024 13:15,,,
4958964.1,,SKY55446+REV,10/12/2024 6:15,10/12/2024 13:15,,,
925,6VTRX07,SKY55446+REV3,D                START TIME    END TIME       TOTAL      REMARK,D                START TIME    END TIME       TOTAL      REMARK,95.24%,21787,1037
4958965.1,,SKY55446+REV,10/23/2024 17:29,10/24/2024 1:08,,,
4958965.1,,SKY55446+REV,10/23/2024 17:29,10/24/2024 1:08,,,
885,6VTRX07,SKY55446+REV3,D                START TIME    END TIME       TOTAL,D                START TIME    END TIME       TOTAL,85.44%,11091,1615
4958965.1D,,SKY55446+REV,10/24/2024 1:19,10/24/2024 1:25,,,
4958965.1D,6VTRX07,SKY55446+REV3,10/24/2024 1:19,10/24/2024 1:25,0.00%,0,0
4958965.2,,SKY55446+REV,10/24/2024 8:52,10/24/2024 20:34,,,
4958965.2,,SKY55446+REV,10/24/2024 8:52,10/24/2024 20:34,,,
926,6VTRX07,SKY55446+REV3,D                START TIME    END TIME       TOTAL      REMARK,D                START TIME    END TIME       TOTAL      REMARK,97.14%,21375,611
4958965.2,,SKY55446+REV,10/24/2024 8:52,10/24/2024 21:38,,,
4958965.2,,SKY55446+REV,10/24/2024 8:52,10/24/2024 21:38,,,
966,6VTRX07,SKY55446+REV3,D                START TIME    END TIME       TOTAL      REMARK,D                START TIME    END TIME       TOTAL      REMARK,98.93%,21395,229
4958965.2,,SKY55446+REV,10/24/2024 8:52,10/24/2024 22:53,,,
4958965.2,,SKY55446+REV,10/24/2024 8:52,10/24/2024 22:53,,,
,6VTRX07,SKY55446+REV3,D                START TIME    END TIME       TOTAL      REMARK,D                START TIME    END TIME       TOTAL      REMARK,99.16%,21395,179
4958965.2,,SKY55446+REV,10/24/2024 8:52,10/24/2024 17:06,,,
4958965.2,,SKY55446+REV,10/24/2024 8:52,10/24/2024 17:06,,,
531,6VTRX07,SKY55446+REV3,D                START TIME    END TIME       TOTAL      REMARK,D                START TIME    END TIME       TOTAL      REMARK,81.87%,20547,3725
4958965.2D,,SKY55446+REV,10/24/2024 1:26,10/24/2024 1:32,,,
4958965.2D,6VTRX07,SKY55446+REV3,10/24/2024 1:26,10/24/2024 1:32,0.00%,0,0
